provider,model,strategy,temperature,variant,rows,json_success_rate,fk_grade_mean,fk_grade_std,aoa,concreteness,imageability,fk_grade,mtld,cli,tier2_proxy_token_ratio,human_benchmark_distance,human_benchmark_score,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,stability_score,overall_score
openai,openai/gpt-5.2,chain_of_thought,0.5,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,12,0.8333333333333334,6.651556847262289,1.516773578851363,323.50276982600275,366.6205126460998,393.20351145620714,6.651556847262289,102.04723978625547,-0.019389870128014453,0.058880765115760444,0.20517345498088554,0.8297560785686741,0.8022452952961127,0.3746575749613026,-19.82581848007875,1.1826874219393915,2.0945973615843343,-3.21971910576685,-9.35179192549396,-0.02162928201341647,0.39733411396363777,0.7156672052904395
openai,openai/gpt-5.2,few_shot,0.5,openai::openai/gpt-5.2::few_shot::temp=0.5,12,0.8333333333333334,6.613948784494866,1.4902085851386093,320.5367773368616,367.1507975442956,394.6008040017356,6.613948784494866,98.42529261229215,0.06594452180983669,0.05820676656901412,0.1965812164305488,0.8357142718511338,0.7879513613879681,0.4599919668991538,-22.791810969219892,1.7129723201351794,3.4918899071127556,-3.257327168534272,-12.973739099457287,-0.02230328056016282,0.4015727862990795,0.7146429382178787
openai,openai/gpt-5.2,chain_of_thought,0.2,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,12,0.8333333333333334,6.5187685357429315,1.557453627566558,323.67994038132986,365.92456249563276,392.11377099297385,6.5187685357429315,101.40758587212888,-0.05795026491909076,0.056955096393950556,0.2249318880479019,0.8163719221920478,0.7988076967497667,0.33609718017022633,-19.648647924751636,0.48673727147234447,1.0048568983509996,-3.352507417286206,-9.991445839620559,-0.02355495073522634,0.3910139324604332,0.7098817211838953
openai,openai/gpt-5.2,chain_of_thought,0.0,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,12,0.8333333333333334,7.048236123489263,1.7666056764194773,327.2035577211557,366.60454943719066,393.6449075339043,7.048236123489263,105.56472871455176,-0.06807903383278152,0.06089487082749077,0.2336829441051481,0.8105810368687151,0.8034507793684801,0.32596841125653553,-16.125030584925828,1.1667242130302498,2.5359934392814294,-2.8230398295398755,-5.834302997197683,-0.01961517630168613,0.36145375126035073,0.7022047252077198
openai,openai/gpt-5.2,zero_shot,0.5,openai::openai/gpt-5.2::zero_shot::temp=0.5,12,0.75,6.3720020873509,1.2999575103610999,313.63231814859085,368.9320949216222,394.9138378360028,6.3720020873509,102.23313859430918,0.21326754039602852,0.05235500861228195,0.3155564888214289,0.7601345958894343,0.7210086081176996,0.5987334325081541,-26.669027692410438,4.274603505120341,4.951204241587606,-3.2493444910149436,-10.122911558102494,-0.02508245871945661,0.43479064091188235,0.6664834612297541
openai,openai/gpt-5.2,zero_shot,0.0,openai::openai/gpt-5.2::zero_shot::temp=0.0,12,0.75,6.4078686174156045,1.4273494179147141,313.4522919614183,367.0297267543515,393.8411215948372,6.4078686174156045,102.8834662894871,0.15810590067516636,0.05160126945725616,0.2786826684360401,0.7820548637161888,0.7169254465649525,0.5435717927872918,-26.849053879582968,2.372235337849645,3.878488000421991,-3.2134779609502395,-9.472583862924566,-0.025836197874482356,0.411972002308213,0.6652380781473386
openai,openai/gpt-5.2,zero_shot,0.2,openai::openai/gpt-5.2::zero_shot::temp=0.2,12,0.75,6.424303913248239,1.3522610764637217,315.63895742445817,368.7410339704568,395.80340273634556,6.424303913248239,104.16008536768689,0.19707289684948215,0.05142201406181169,0.323578828649282,0.755527346278653,0.7143922690302134,0.5825387889616077,-24.662388416543138,4.083542553955005,5.840769141930328,-3.197042665117605,-8.195964784724778,-0.026015453269926842,0.4251228785808728,0.6612606234724347
openai,openai/gpt-5.2,few_shot,0.0,openai::openai/gpt-5.2::few_shot::temp=0.0,12,0.75,6.166866271201776,1.4296350542162406,315.3815791689226,370.11483009050573,396.7539847327009,6.166866271201776,100.72443310655063,0.24662273802137719,0.05762758114231957,0.3494356696492042,0.7410505165169952,0.717222555850943,0.6320886301335027,-24.919766672078694,5.457338674003874,6.791351138285645,-3.4544803071640673,-11.631617045861027,-0.019809886189418955,0.4115844469171043,0.6549643798212605
openai,openai/gpt-5.2,few_shot,0.2,openai::openai/gpt-5.2::few_shot::temp=0.2,12,0.75,6.278658153750708,1.6598787951361444,312.50780109289093,369.97445094184275,396.44342144630605,6.278658153750708,99.81507883336462,0.28225346487911324,0.05511510237218974,0.34092522700469435,0.7457537376888348,0.7201138480256001,0.6677193569912387,-27.79354474811034,5.316959525340938,6.4807878518908275,-3.3426884246151354,-12.540971319047046,-0.0223223649595488,0.3759569803814371,0.6479561415239681
