metric,distance_to_advanced,distance_to_elementary
AoA,19.27,0.76
Concreteness,0.15,0.14
Imageability,0.38,0.12
CLI,0.32,0.01
Tier 2 proxy,0.03,0.0
FKGL,3.98,1.01
MTLD,15.47,10.89
