metric,distance_to_advanced,distance_to_elementary
AoA,21.25,2.74
Concreteness,0.36,0.35
Imageability,0.23,0.03
CLI,0.34,0.04
Tier 2 proxy,0.03,0.0
FKGL,3.97,1.0
MTLD,13.48,12.88
