provider,model,strategy,temperature,variant,rows,json_success_rate,fk_grade_mean,fk_grade_std,aoa,concreteness,imageability,fk_grade,mtld,cli,tier2_proxy_token_ratio,human_benchmark_distance,human_benchmark_score,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,stability_score,overall_score
openai,openai/gpt-5.2,zero_shot,0.5,openai::openai/gpt-5.2::zero_shot::temp=0.5,12,1.0,6.611009903230048,1.2180876323042513,319.0304872299736,366.8427881128307,394.2761464614961,6.611009903230048,98.89007819962569,0.14565927477563226,0.057511394535645154,0.20948651577024544,0.826797146525576,0.9100890010595322,0.48011876634655826,-20.8570172853439,3.337106004332417,4.773115539260412,-3.3160385125708878,-16.139924692867485,-0.021092255819933934,0.45083881512884777,0.7969312406784891
openai,openai/gpt-5.2,few_shot,0.2,openai::openai/gpt-5.2::few_shot::temp=0.2,12,1.0,6.497792341966537,1.1936133812404917,319.8623038315006,365.4430660382903,392.9450240520608,6.497792341966537,104.0940382776832,0.08001896932649726,0.05693687458136205,0.23023475618808753,0.8128529900248669,0.9109164476394653,0.41447846089742324,-20.025200683816863,1.937383929792006,3.4419931298250552,-3.4292560738343987,-10.935964614809984,-0.02166677577421704,0.4558688456917137,0.7949095708390115
openai,openai/gpt-5.2,chain_of_thought,0.2,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,12,1.0,6.397470789811941,1.3023236978612138,319.06214887553887,365.40036941240595,392.135405530882,6.397470789811941,99.91642550230578,0.0749875689602828,0.056752342401179996,0.22832995671200135,0.8141134998260598,0.9266044994195303,0.4094470605312088,-20.825355639778635,1.8946873039076546,2.6323746086462356,-3.529577625988994,-15.113577390187402,-0.021851307954399064,0.4343437896803862,0.7937654472314941
openai,openai/gpt-5.2,zero_shot,0.2,openai::openai/gpt-5.2::zero_shot::temp=0.2,12,1.0,6.542689812563386,1.2402968760418103,316.9625217617784,364.60654437525255,391.5438818025948,6.542689812563386,101.51605090677208,0.08073468573164698,0.05342789656723288,0.25449186865855805,0.7971354976332458,0.9144113113482794,0.4151941773025729,-22.92498275353901,1.1008622667542909,2.0408508803590872,-3.3843586032375494,-13.513951985721098,-0.02517575378834619,0.44636941232842975,0.7894790553274887
openai,openai/gpt-5.2,zero_shot,0.0,openai::openai/gpt-5.2::zero_shot::temp=0.0,12,1.0,6.736261051898978,1.3307376791038144,316.9837970355827,363.9774923575164,391.56547384677606,6.736261051898978,103.9908765777003,0.06936350975752069,0.05492939853879924,0.2520402955665548,0.7986963387208674,0.9238624721765518,0.4038230013284467,-22.903707479734763,0.47181024901807217,2.062442924540368,-3.1907873639019577,-11.039126314792872,-0.02367425181677985,0.4290487123306418,0.7879018808070153
openai,openai/gpt-5.2,few_shot,0.0,openai::openai/gpt-5.2::few_shot::temp=0.0,12,1.0,6.678308497192546,1.4515604957147854,319.0448068118453,364.766691665109,391.7772348026321,6.678308497192546,101.46940144531617,0.05634863678845344,0.055581856005083675,0.22167389862713122,0.8185490425258004,0.9163948247830073,0.3908081283593794,-20.842697703472144,1.261009556610773,2.274203880396423,-3.2487399186083903,-13.560601447177019,-0.02302179435049542,0.4079034564914689,0.7857118309500692
openai,openai/gpt-5.2,few_shot,0.5,openai::openai/gpt-5.2::few_shot::temp=0.5,12,1.0,6.676179883050717,1.5110286168091462,316.93422098526156,364.5358758175825,391.8664135798817,6.676179883050717,101.6873789572927,0.08648671865323958,0.05444137781910793,0.23485704186328635,0.8098103392527863,0.9117316653331121,0.4209462102241656,-22.953283530055884,1.030193709084197,2.363382657645928,-3.250868532750219,-13.342623935200487,-0.024162272536471158,0.39824317146601684,0.7799462940129789
openai,openai/gpt-5.2,chain_of_thought,0.5,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,12,1.0,6.46529252152223,1.6505127961969233,320.57504388583703,364.0311846579504,390.67647244876525,6.46529252152223,102.10315650041066,-0.003209003224360315,0.05623910273851678,0.27028632180290657,0.7872240949431846,0.9272409627834955,0.3312504883465656,-19.312460629480427,0.5255025494520801,1.1734415265295774,-3.4617558942787063,-12.92684639208251,-0.022364547617062316,0.3772854828072687,0.7729376351334872
openai,openai/gpt-5.2,chain_of_thought,0.0,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,12,1.0,6.545296808330568,1.5196454778538335,323.0029876740021,363.3745355565352,390.58483502816676,6.545296808330568,105.71128511104848,-0.05449198969499108,0.05347552222706726,0.31819980161804473,0.7586103402325919,0.9214224368333817,0.2799675018759349,-16.88451684131539,-0.13114655196307945,1.0818041059311128,-3.381751607470368,-9.318717781444697,-0.025128128128511826,0.396881231422991,0.7692285021222411
